1-комн. квартира, 12,7 м², 5/5 этаж;1;12,7;5/5;Республика Татарстан;Казань;р-н Авиастроительный;;м. Авиастроительная;1 750 000 ;298326840;6
1-комн. квартира, 34,44 м², 7/10 этаж;1;34,44;7/10;Республика Татарстан;Казань;р-н Советский;м. Горки;;9 300 000 ;299883827;7
1-комн. квартира, 25 м², 5/20 этаж;1;25;5/20;Республика Татарстан;Казань;р-н Советский;мкр. Дербышки;м. Суконная слобода;3 990 000 ;299883827;7
1-комн. квартира, 38,9 м², 18/25 этаж;1;38,9;18/25;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Козья слобода;улица Четаева;11 670 000 ;279432875;7
1-комн. квартира, 34,5 м², 15/25 этаж;1;34,5;15/25;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Козья слобода;улица Четаева;9 990 000 ;297846537;7
1-комн. квартира, 38,41 м², 12/20 этаж;1;38,41;12/20;Республика Татарстан;Казань;р-н Советский;;м. Суконная слобода;11 100 000 ;279740165;7
1-комн. квартира, 41,9 м², 6/10 этаж;1;41,9;6/10;Республика Татарстан;Казань;р-н Советский;мкр. Царицыно;м. Горки;6 950 000 ;300972556;7
1-комн. квартира, 41,64 м², 8/10 этаж;1;41,64;8/10;Республика Татарстан;Казань;р-н Советский;мкр. Куба;;11 265 000 ;298440346;7
1-комн. квартира, 36,7 м², 4/10 этаж;1;36,7;4/10;Республика Татарстан;Казань;р-н Советский;м. Дубравная;;6 900 000 ;290811603;7
1-комн. квартира, 48,27 м², 5/11 этаж;1;48,27;5/11;Республика Татарстан;Казань;р-н Кировский;;м. Яшьлек;9 292 000 ;297180897;7
Просторная 1-комнатная квартира;1;48,27;5/11;Республика Татарстан;Казань;р-н Советский;мкр. Малые Клыки;м. Дубравная;7 100 000 ;301725721;7
1-комн. квартира, 36,13 м², 5/10 этаж;1;36,13;5/10;Республика Татарстан;Казань;р-н Приволжский;;м. Дубравная;8 851 850 ;301712351;7
1-комн. квартира, 31,4 м², 5/9 этаж;1;31,4;5/9;Республика Татарстан;Казань;р-н Советский;м. Дубравная;;6 150 000 ;297849989;7
1-комн. квартира, 44,44 м², 10/24 этаж;1;44,44;10/24;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Козья слобода;;13 439 323 ;297180901;7
Последняя БИЗНЕС 1-к в ЦЕНТРЕ;П;1-к;ЦЕНТРЕ;Республика Татарстан;Казань;р-н Приволжский;м. Суконная слобода;;12 490 000 ;299997417;7
1-комн. квартира, 36,2 м², 3/25 этаж;1;36,2;3/25;Республика Татарстан;Казань;р-н Приволжский;м. Дубравная;;7 878 000 ;297779456;7
Квартира в центре от собственника;К;центре;собственника;Республика Татарстан;Казань;р-н Вахитовский;;м. Суконная слобода;5 690 000 ;299280189;7
1-комн. квартира, 37,2 м², 12/17 этаж;1;37,2;12/17;Республика Татарстан;Казань;р-н Советский;мкр. Малые Клыки;м. Горки;7 481 646 ;298110751;7
1-комн. квартира, 45,5 м², 11/22 этаж;1;45,5;11/22;Республика Татарстан;Казань;р-н Ново-Савиновский;;м. Козья слобода;12 300 000 ;287882649;7
1-комн. квартира, 41,65 м², 16/19 этаж;1;41,65;16/19;Республика Татарстан;Казань;р-н Советский;м. Аметьево;Мечта ЖК;8 630 000 ;297180907;7
1-комн. апартаменты, 50,5 м², 11/11 этаж;1;50,5;11/11;Республика Татарстан;Казань;р-н Вахитовский;мкр. Калуга;м. Суконная слобода;5 149 999 ;296265929;7
1-комн. квартира, 43 м², 6/19 этаж;1;43;6/19;Республика Татарстан;Казань;р-н Советский;м. Аметьево;;9 280 000 ;297850235;7
1-комн. квартира, 42,8 м², 2/18 этаж;1;42,8;2/18;Республика Татарстан;Казань;р-н Приволжский;мкр. Солнечный;м. Проспект Победы;6 699 000 ;296266136;7
1-комн. квартира, 41,27 м², 5/19 этаж;1;41,27;5/19;Республика Татарстан;Казань;р-н Советский;м. Аметьево;;9 000 000 ;301173977;7
1-комн. квартира, 39,2 м², 4/21 этаж;1;39,2;4/21;Республика Татарстан;Казань;р-н Приволжский;;м. Проспект Победы;6 390 000 ;296266549;7
1-комн. квартира, 41,22 м², 7/8 этаж;1;41,22;7/8;Республика Татарстан;Казань;р-н Кировский;;м. Козья слобода;11 731 000 ;300177445;7
